County,Registered Voters,Abrams.Election.Day,Abrams.Absentee.Mail,Abrams.Advance.In.Person,Abrams.Provisional,Abrams.Total ,Evans.Election.Day,Evans.Absentee.Mail,Evans.Advance.In.Person,Evans.Provisional,Evans.Total ,AllVotes.Total, PctTotal.Abrams , PctTotal.Evans ,Winner
Appling,0,251,48,77,0,376,84,18,23,0,125,501,0.75,0.25,Abrams
Atkinson,0,118,3,28,0,149,54,2,34,0,90,239,0.623,0.377,Abrams
Bacon,0,58,2,27,0,87,19,1,12,0,32,119,0.731,0.269,Abrams
Baker,0,87,19,47,0,153,21,8,8,0,37,190,0.805,0.195,Abrams
Baldwin,0,1396,50,532,0,1978,368,19,215,0,602,2580,0.767,0.233,Abrams
Banks,0,52,5,13,0,70,56,2,22,0,80,150,0.467,0.533,Evans
Barrow,0,739,16,182,0,937,296,22,86,0,404,1341,0.699,0.301,Abrams
Bartow,0,904,10,213,0,1127,436,8,131,0,575,1702,0.662,0.338,Abrams
Ben Hill,0,214,24,145,0,383,85,23,80,0,188,571,0.671,0.329,Abrams
Berrien,0,112,12,33,0,157,72,10,33,0,115,272,0.577,0.423,Abrams
Bibb,0,7090,319,2205,0,9614,2100,117,856,0,3073,12687,0.758,0.242,Abrams
Bleckley,0,140,24,35,0,199,45,2,19,0,66,265,0.751,0.249,Abrams
Brantley,0,67,0,24,0,91,35,1,15,0,51,142,0.641,0.359,Abrams
Brooks,0,313,29,74,0,416,76,3,25,0,104,520,0.8,0.2,Abrams
Bryan,0,533,7,219,0,759,206,6,130,0,342,1101,0.689,0.311,Abrams
Bulloch,0,1396,31,640,0,2067,445,14,247,0,706,2773,0.745,0.255,Abrams
Burke,0,647,151,145,0,943,172,15,38,0,225,1168,0.807,0.193,Abrams
Butts,0,295,10,193,0,498,83,1,67,0,151,649,0.767,0.233,Abrams
Calhoun,0,233,31,31,0,295,80,11,14,0,105,400,0.738,0.263,Abrams
Camden,0,734,116,252,0,1102,160,28,65,0,253,1355,0.813,0.187,Abrams
Candler,0,127,6,85,0,218,24,2,33,0,59,277,0.787,0.213,Abrams
Carroll,0,1500,24,568,0,2092,646,11,290,0,947,3039,0.688,0.312,Abrams
Catoosa,0,283,2,86,0,371,517,6,220,0,743,1114,0.333,0.667,Evans
Charlton,0,147,11,76,0,234,65,5,41,0,111,345,0.678,0.322,Abrams
Chatham,0,11766,260,2728,0,14754,3677,80,1020,0,4777,19531,0.755,0.245,Abrams
Chattahoochee,0,120,16,61,0,197,54,3,32,0,89,286,0.689,0.311,Abrams
Chattooga,0,231,8,93,0,332,175,4,119,0,298,630,0.527,0.473,Abrams
Cherokee,0,2614,48,724,0,3386,1251,34,476,0,1761,5147,0.658,0.342,Abrams
Clarke,0,6219,185,3154,0,9558,1722,91,1145,0,2958,12516,0.764,0.236,Abrams
Clay,0,111,42,39,0,192,40,19,22,0,81,273,0.703,0.297,Abrams
Clayton,0,12380,121,4269,0,16770,2381,60,1045,0,3486,20256,0.828,0.172,Abrams
Clinch,0,114,11,106,0,231,117,6,105,0,228,459,0.503,0.497,Abrams
Cobb,0,26140,432,4337,0,30909,8531,319,1662,0,10512,41421,0.746,0.254,Abrams
Coffee,0,660,13,307,0,980,218,0,135,0,353,1333,0.735,0.265,Abrams
Colquitt,0,417,56,133,0,606,146,29,71,0,246,852,0.711,0.289,Abrams
Columbia,0,2535,35,694,0,3264,983,33,395,0,1411,4675,0.698,0.302,Abrams
Cook,0,206,20,74,0,300,107,8,29,0,144,444,0.676,0.324,Abrams
